localite_ID_renacom,latitude,loc_type,locality,longitude,n_bureau,n_population_2001,n_population_2012,n_voters
228,17.44,CPT,TALAT NAJAD (VA),9.04,1,163,,0.0
229,16.57,PE,ANOUWALA I,6.65,1,136,,0.0
230,15.69,PE,ELHADJI YACOUBA,7.01,1,47,,0.0
231,15.47,PE,AZAI MOZE,7.1,1,65,,0.0
232,15.57,PE,OLY,7.2,1,231,200.0,0.0
233,15.58,PE,TARISSAT (PE),7.82,1,147,,0.0
234,16.34,PE,ASSOUMAN,7.18,1,132,,0.0
235,17.51,PE,AZZELIK (PE),6.8,1,70,,0.0
236,17.5,PE,AZELIK (PE),6.8,1,229,,0.0
237,16.36,PE,TCHINAGROF,7.0,1,75,,0.0
238,16.5,PE,WOURTOURDE (PE),6.92,1,87,,0.0
239,17.59,PE,FOUL-FOUL,6.45,1,116,,0.0
240,17.6,PE,TCHIGUEFAN,6.75,1,389,,0.0
241,17.53,PE,ASSARAWRAW,6.67,1,174,,0.0
242,15.71,PE,TOROF,7.08,1,137,,0.0
243,17.09,PE,MARAKAT,6.62,1,302,209.0,0.0
244,17.22,PE,EKIZENGUIT (PE),6.83,1,35,,0.0
245,16.66,PE,ABAJALELOM,6.69,1,262,,0.0
246,16.89,PE,EHALGENE (PE) I,6.52,1,97,,0.0
247,17.33,PE,AKANDANDAN,7.32,1,23,,0.0
248,17.5,PE,DABLA,7.42,1,241,336.0,139.0
249,16.45,PE,MARARABA,7.32,1,340,309.0,285.0
250,16.98,PE,IBADAY BADAYWAN,7.02,1,60,,0.0
251,16.43,PE,TCHINSAKANAN HAROUNA,7.07,1,41,,0.0
252,16.43,PE,TCHINSAKANAN ISSOUF LAWAN,7.07,1,70,,0.0
253,16.4,PE,ALMOUKADET,7.11,1,43,,0.0
254,17.09,PE,TIBLILIK,7.35,1,71,333.0,0.0
255,15.87,PE,INWAZAB,7.82,1,57,,98.0
256,16.77,PE,KOKARI,7.4,1,749,830.0,69.0
257,16.74,PE,TAKOUKOUT,7.49,1,141,,0.0
258,17.44,PE,AMANTADAN,7.44,1,333,484.0,0.0
259,17.45,PE,INMASSATA,7.14,1,30,,0.0
260,16.49,PE,GANI,7.14,1,260,394.0,357.0
261,16.61,PE,TRATCHIRJ,7.02,1,471,,0.0
262,16.54,PE,"DARKATE 1,2,3,4 (PE)",6.4,1,224,,0.0
263,16.51,PE,ANOUWALA II,6.51,1,133,,0.0
264,16.91,PE,EHALGENE (PE) II,6.52,1,122,,0.0
265,17.43,PE,TAGAZA I,6.47,1,177,,0.0
266,17.58,PE,TAGAZA II,6.45,1,69,,0.0
267,16.56,PE,TEMALELAOU,6.86,1,296,,0.0
268,16.6,PE,OUFETIKIN,6.94,1,137,,0.0
269,16.92,PE,EHALGENE III,6.53,1,165,,0.0
270,15.54,PE,MOZABABOU,6.9,1,217,,0.0
271,15.98,PE,ATTAYOUB,7.21,1,318,,0.0
272,15.49,PE,HAMA IBRAHIM,7.09,1,100,,0.0
273,16.42,PE,TABHOUT,7.12,1,69,,0.0
274,16.08,PE,GARMAGA,7.21,1,87,,0.0
275,15.71,PE,WANNERANE,6.96,1,17,,0.0
276,15.98,PE,AGABARGABAR MOUHAMAD TAHARO,6.99,1,14,,0.0
277,17.01,PE,AGARAY GAREY,6.44,1,62,,0.0
278,17.59,PE,TIGGARE,6.77,1,89,,0.0
279,17.36,PE,TAGHIST (PE),6.9,1,119,,0.0
280,17.12,PE,TCHINWIKIRWI,7.42,1,13,,0.0
281,16.46,PE,TCHISAKANE HAROUNA,7.05,1,33,,0.0
282,17.49,PE,KITINFRI(ABATNANAGE(PE,8.0,1,94,,0.0
283,16.46,PE,LARLAR (PE),6.96,1,76,,0.0
284,17.42,PE,TOUROUF,8.79,1,38,77.0,0.0
285,16.74,PE,BOULANGUI,6.44,1,60,,0.0
286,16.99,PE,BATWIL,6.29,1,58,,0.0
287,16.87,PE,TCHINZAGHANNENE,6.51,1,193,,0.0
288,16.06,PE,ELAKAT,7.15,1,123,,0.0
289,15.9,PE,TAGALALT,7.03,1,229,,0.0
290,16.52,PE,TAGDOUMT(PE),6.71,1,167,,0.0
291,16.91,PE,TCHINOUGOURANE,6.72,1,340,,0.0
292,16.52,PE,AMALOLO,6.83,1,90,,0.0
293,19.33,VA,ASSAMAKA,5.77,1,365,513.0,176.0
294,19.53,PE,OURAREN,7.19,1,199,,0.0
295,19.4,PE,EZAZAOU,7.43,1,253,,0.0
296,19.25,PE,AZATARAYA,7.38,1,91,,0.0
297,17.5,VA,TASSAWAT,8.97,1,166,338.0,0.0
298,17.5,VA,TASSAWAT,8.98,1,27,338.0,0.0
299,16.16,VA,IDRISSA (PE),7.71,1,113,,0.0
300,17.79,VA,TILLIA (PE),8.91,1,94,,0.0
301,16.05,VA,KABBE (PE),7.64,1,77,,0.0
302,17.46,VA,BANAGA (VA),8.67,1,133,,0.0
303,17.43,VA,BERGE (VA),8.67,1,344,,0.0
304,17.42,VA,ANFOUG-EST,8.79,1,117,,0.0
305,15.7,VT,AKAKI,7.13,1,120,,0.0
306,17.68,VA,AOUKADEDE,8.78,1,225,,219.0
307,17.72,VA,BAGZAN AMAS (VA),8.75,1,453,,0.0
308,17.53,VA,TOUDOU TARBOUNA,8.96,1,235,,0.0
309,17.52,VA,TOUDOU TARZAGHIL,8.97,1,151,,0.0
310,17.55,VA,IMIN NABARO,8.95,1,880,,0.0
311,17.58,VA,ERWA,8.94,1,96,,0.0
312,17.75,VA,EDAOUDAOU,8.96,1,340,,0.0
313,17.72,VA,BIRNI,8.99,1,364,,326.0
314,17.53,VA,TALAT,8.64,2,860,1303.0,554.0
315,17.11,VA,OUKOUFAWA (PE),8.83,1,309,,0.0
316,17.41,VA,IMIN EREWAT GUERMAWEN,8.36,1,98,,0.0
317,16.13,VA,TILYA,7.68,1,282,,0.0
318,17.72,VA,AFASSAS,9.0,1,435,,0.0
319,17.57,VA,TEWAR (VA),8.63,1,757,,0.0
320,17.56,VA,AZDEN (VA),8.63,1,153,,0.0
321,17.53,VA,ATKAKI (VA),8.71,1,572,,0.0
322,17.37,VA,TASSOUMAT,8.63,1,335,,0.0
323,17.49,VA,ASSAKAMAR,8.64,1,552,,0.0
324,17.47,VA,EGUEF (VA),8.65,1,151,,0.0
325,17.57,VA,TABELOT,8.94,1,1499,1956.0,0.0
326,17.48,VA,ELDJIMNA,9.0,1,232,,0.0
327,17.52,VA,EBEI (VA),8.98,1,277,,0.0
328,17.43,VA,TCHI MOUZ GUINI,8.33,1,65,,0.0
329,17.88,VA,TAMANET,9.02,1,274,,0.0
330,18.0,VA,ANFISSEK,8.94,1,244,,0.0
331,18.06,VA,ANOU NAKAREN (D'OUFEN),8.44,1,386,,0.0
332,17.46,VA,EREWAT,8.48,1,202,,0.0
333,16.8,VA,DOLI,6.6,1,116,,0.0
334,16.82,VA,ANFOUG-OUEST,6.88,1,200,,0.0
335,17.52,VA,ABARDAK (VA),8.65,1,770,,0.0
336,17.34,VA,INWAJID,8.47,1,776,,0.0
337,17.14,VA,TESSOUBA,8.61,1,373,,0.0
338,17.53,VA,TALAT (ILLYALENE),8.64,1,161,,0.0
339,17.65,CPT,AKARI,8.75,1,139,180.0,0.0
340,15.91,CPT,INDILIWA,7.63,1,206,,0.0
341,15.9,CPT,TAGALAT,7.03,1,284,286.0,177.0
342,17.66,CPT,TELOUSS (VA),8.91,1,786,,0.0
343,17.9,CPT,TASSAWAT (VT),8.17,1,288,,0.0
344,17.19,CPT,ARA,6.68,1,103,,299.0
345,16.03,PE,EZEN,7.46,1,51,72.0,0.0
346,17.69,PE,ANOUZEGRINE,9.03,1,429,,0.0
347,17.54,PE,ANOUN NALHER,9.11,1,126,,0.0
348,17.41,PE,BARGOT,9.08,1,289,385.0,222.0
349,16.8,PE,WAZAGRE,6.6,1,107,,0.0
350,17.66,PE,EMALAOULE,8.77,1,166,,0.0
351,16.39,PE,TADJABENE (PE),7.68,1,158,,0.0
352,17.25,QT,TCHIRO-CENTRE,7.83,1,350,,0.0
353,17.84,QT,INTAMADET (QT),7.98,1,982,,0.0
354,17.06,QT,SABON-GARI (QT),8.06,1,116,,0.0
355,15.64,VA,GUIRMOWEN (VA),7.35,1,151,,0.0
356,16.99,VA,TENDAYEN (VA),8.49,1,1600,,0.0
357,17.55,VA,EGANDAWEL,8.12,2,1029,1916.0,719.0
358,17.55,VA,MARDANE,8.12,1,845,566.0,0.0
359,17.19,VA,TIKILKAL,8.35,1,155,492.0,0.0
360,17.18,VA,TASSAMAKAT,8.35,1,193,253.0,94.0
361,17.15,VA,TEMILM,8.36,1,183,,0.0
362,16.09,VA,EDDAB (VA),7.4,1,267,,0.0
363,17.02,VA,SABON GARI TCHINTABOR,8.2,1,555,,0.0
364,17.08,VA,AZZEL ECOLE (VA),8.06,1,574,,0.0
365,17.09,VA,TCHIMBRA (VT),8.06,1,280,,0.0
366,17.04,VA,ATRI (VA),8.26,1,936,,0.0
367,15.72,VA,GANIGUI,7.58,1,78,,0.0
368,16.98,VA,BEINABO,8.42,1,796,,0.0
369,17.0,VA,TOREYET,8.72,1,679,,0.0
370,17.75,VA,TAMAZALAK,7.97,1,1922,,0.0
371,17.06,VA,EDEKEL,8.44,1,225,,0.0
372,17.1,VA,KELGO,8.4,1,27,,0.0
373,17.72,VA,MOUMAISSA,8.3,1,76,,0.0
374,16.94,VA,INTAMATE,8.35,1,141,,0.0
375,17.12,VA,INOUSLI,8.4,1,104,,148.0
376,17.63,VA,ASSADA,8.41,1,438,,0.0
377,17.14,VA,EGHARGHAR (VA),7.43,1,575,,0.0
378,17.63,VA,AMATASSA,8.39,1,68,,0.0
379,16.92,VA,TAGAI,7.13,1,171,,0.0
380,17.49,VA,TCHIRSAL,8.04,1,86,,0.0
381,17.48,VA,BOUDARI,8.02,1,466,367.0,156.0
382,17.46,VA,TARZAGARAT,8.01,1,187,,0.0
383,17.41,VA,GABDAK,8.07,1,80,,0.0
384,17.06,VA,AZEL SABONGARI,8.06,1,520,,0.0
385,17.39,VA,TAFADEK,7.96,1,211,155.0,0.0
386,17.11,VA,TCHINTABIZ GUINE,7.83,1,420,,0.0
387,17.52,VA,WARATAHALT,7.98,1,347,,0.0
388,16.89,VA,KERBOUBOU ECOLE KOURBOUBOU,7.81,1,1314,,0.0
389,17.01,VA,AZAGUE,7.54,1,86,,0.0
390,17.22,VA,AGAROUSS (VA),7.61,1,680,,0.0
391,17.14,VA,EMAZLAK OU EMEZALAK,7.78,1,402,,0.0
392,17.49,VA,GUIJIB,7.68,1,354,289.0,0.0
393,17.06,VA,HAMZANE,7.78,1,533,,190.0
394,17.72,VA,ILLAGOUZAN (PE),7.65,1,195,,0.0
395,17.09,VA,GOFFAT (VA),7.95,1,1292,,0.0
396,17.63,VA,ISSAKANAN (PE),7.7,1,188,,0.0
397,17.02,VA,SAKAFAT,8.35,2,558,860.0,497.0
398,17.27,VA,ANOU-ARAREN,7.76,1,632,,0.0
399,17.13,VA,TOUMGA I,8.07,1,232,,0.0
400,17.63,VA,AZAMALAN,8.33,1,124,,0.0
401,17.89,VA,MONDAYE,8.25,1,141,,0.0
402,17.45,CPT,IMASSAKNAN (VT),7.14,1,206,,0.0
403,16.98,CPT,ARATANE,8.79,1,200,,0.0
404,16.98,CPT,ATTIMIK,8.11,1,184,,0.0
405,17.72,CPT,BAGZAN,8.75,1,178,,0.0
406,16.94,CPT,TENDAWEN,8.49,1,56,,0.0
407,17.73,CPT,AFOUDE,8.3,1,109,,0.0
